,Year,Country_name,Loan_prop,Region_clean,Country3code,Population,GDPpercap
1,1990,Algeria,0.019590881,Middle East & North Africa ,DZA,25758869,2408.688815
2,1990,Barbados,0.00169618,Latin America & Caribbean ,BRB,260936,7711.206799
3,1990,Botswana,0.001263654,Sub-Saharan Africa ,BWA,1286756,2945.83204
4,1990,Brazil,0.027732546,Latin America & Caribbean ,BRA,149003223,3100.280468
5,1990,Cameroon,0.001823394,Sub-Saharan Africa ,CMR,11780088,946.6464131
6,1990,Chile,0.011025171,Latin America & Caribbean ,CHL,13274623,2494.525669
7,1990,China,0.016961802,East Asia & Pacific ,CHN,1135185000,317.884673
8,1990,Colombia,0.032481851,Latin America & Caribbean ,COL,33102569,1445.32863
9,1990,Cote d'Ivoire,0.015426759,Sub-Saharan Africa ,CIV,NA,NA
10,1990,Cyprus,0.002120225,Europe & Central Asia,CYP,766615,9641.575273
11,1990,Ecuador,0.004240451,Latin America & Caribbean ,ECU,10230934,1489.529509
12,1990,Fiji,0.001373906,East Asia & Pacific ,FJI,728573,1835.128096
13,1990,Guinea,0.005699165,Sub-Saharan Africa ,GIN,6352283,419.7886298
14,1990,Honduras,0.007632811,Latin America & Caribbean ,HND,4955303,993.4830527
15,1990,Hungary,0.060723251,Europe & Central Asia,HUN,10373988,NA
16,1990,India,0.102279666,South Asia,IND,873277798,367.5566093
17,1990,Indonesia,0.122141936,East Asia & Pacific ,IDN,181413402,585.07655
18,1990,Jamaica,0.005088541,Latin America & Caribbean ,JAM,2419906,1897.686963
19,1990,Jordan,0.012721352,Middle East & North Africa ,JOR,3565890,1166.610276
20,1990,Malaysia,0.013077549,East Asia & Pacific ,MYS,18029824,2441.741991
21,1990,Mali,0.01299274,Sub-Saharan Africa ,MLI,8449913,317.3893069
22,1990,Mauritius,0.00254427,Sub-Saharan Africa ,MUS,1058775,2506.179312
23,1990,Mexico,0.18759753,Latin America & Caribbean ,MEX,83943132,3112.268706
24,1990,Morocco,0.024255377,Middle East & North Africa ,MAR,24807462,1206.011838
25,1990,Niger,0.021889206,Sub-Saharan Africa ,NER,8026591,437.5900495
26,1990,Oman,0.012721352,Middle East & North Africa,OMN,1812161,6448.127685
27,1990,Pakistan,0.088583011,South Asia,PAK,107647921,371.6785573
28,1990,Philippines,0.072766131,East Asia & Pacific ,PHL,61895160,715.9137121
29,1990,Poland,0.079381233,Europe & Central Asia,POL,38110782,1731.209531
30,1990,Spain,0.003731596,Europe & Central Asia,ESP,38867322,13804.87679
31,1990,St. Lucia,0.000212023,Latin America & Caribbean ,LCA,NA,NA
32,1990,Tunisia,0.002459461,Middle East & North Africa ,TUN,8242496,1491.122129
33,1990,Turkey,0.014671959,Europe & Central Asia ,TUR,53921760,2794.35039
34,1990,Zimbabwe,0.011093019,Sub-Saharan Africa ,ZWE,10432421,841.9729898
35,1991,Algeria,0.046073453,Middle East & North Africa ,DZA,26400479,1731.611274
36,1991,Argentina,0.023603054,Latin America & Caribbean ,ARG,33079000,5735.360327
37,1991,Bosnia and Herzegovina,0.004019096,Europe & Central Asia ,BIH,NA,NA
38,1991,Brazil,0.044575426,Latin America & Caribbean ,BRA,151648011,3975.390089
39,1991,Bulgaria,0.001242266,Europe & Central Asia ,BGR,8632367,1267.734375
40,1991,China,0.13263747,East Asia & Pacific ,CHN,1150780000,333.1421454
41,1991,Costa Rica,0.001680713,Latin America & Caribbean ,CRI,NA,NA
42,1991,Cote d'Ivoire,0.016441756,Sub-Saharan Africa ,CIV,NA,NA
43,1991,Cyprus,0.004530617,Europe & Central Asia,CYP,783124,9696.099593
44,1991,Guinea,0.001519949,Sub-Saharan Africa ,GIN,6534939,461.3494585
45,1991,Hungary,0.029229788,Europe & Central Asia,HUN,10373400,3350.258323
46,1991,India,0.11297313,South Asia,IND,891273209,303.0556053
47,1991,Indonesia,0.137496922,East Asia & Pacific ,IDN,184591903,631.7828373
48,1991,Jamaica,0.002192234,Latin America & Caribbean ,JAM,2439334,1668.98801
49,1991,Jordan,0.001826862,Middle East & North Africa ,JOR,3760496,1155.233314
50,1991,Mauritius,0.002029278,Sub-Saharan Africa ,MUS,1070266,2669.3277
51,1991,Mexico,0.095362183,Latin America & Caribbean ,MEX,85512623,3661.947879
52,1991,Morocco,0.057728831,Middle East & North Africa ,MAR,25260404,1266.849441
53,1991,Niger,0.005115213,Sub-Saharan Africa ,NER,8288735,396.4171831
54,1991,Oman,0.048959895,Middle East & North Africa,OMN,1893768,5988.844697
55,1991,Pakistan,0.014636816,South Asia,PAK,110778648,411.859465
56,1991,Philippines,0.011545766,East Asia & Pacific ,PHL,63454786,715.7468201
57,1991,Poland,0.103400374,Europe & Central Asia,POL,38246193,2235.541089
58,1991,Serbia,0.025941437,Europe & Central Asia ,SRB,7595636,NA
59,1991,Slovenia,0.004384468,Europe & Central Asia,SVN,1999429,6633.73741
60,1991,Tunisia,0.022360788,Middle East & North Africa ,TUN,8427857,1551.376893
61,1991,Turkey,0.043844682,Europe & Central Asia ,TUR,54840590,2735.707864
62,1991,Zimbabwe,0.004647536,Sub-Saharan Africa ,ZWE,10680995,809.0521248
63,1992,Algeria,0.013611723,Middle East & North Africa ,DZA,27028326,1776.036674
64,1992,Belize,0.000840376,Latin America & Caribbean ,BLZ,194324,2666.8816
65,1992,Brazil,0.00591814,Latin America & Caribbean ,BRA,154259380,2596.919876
66,1992,Chile,0.010652653,Latin America & Caribbean ,CHL,13719819,3350.213845
67,1992,China,0.159872642,East Asia & Pacific ,CHN,1164970000,366.4606923
68,1992,Ecuador,0.01053429,Latin America & Caribbean ,ECU,10716129,1688.505067
69,1992,Estonia,0.003550884,Europe & Central Asia,EST,1533091,NA
70,1992,Hungary,0.035508842,Europe & Central Asia,HUN,10369341,3735.10582
71,1992,India,0.127121653,South Asia,IND,909307016,316.9539279
72,1992,Indonesia,0.147278839,East Asia & Pacific ,IDN,187739786,681.9383856
73,1992,Latvia,0.005326326,Europe & Central Asia,LVA,2614338,NA
74,1992,Lithuania,0.007101768,Europe & Central Asia,LTU,3700114,NA
75,1992,Malaysia,0.027815259,East Asia & Pacific ,MYS,19002656,3113.646333
76,1992,Mali,0.073290249,Sub-Saharan Africa ,MLI,8850334,319.8380297
77,1992,Mauritius,0.001775442,Sub-Saharan Africa ,MUS,1084441,2973.206977
78,1992,Mexico,0.017754421,Latin America & Caribbean ,MEX,87075138,4170.623287
79,1992,Morocco,0.032549772,Middle East & North Africa ,MAR,25711406,1299.421679
80,1992,Niger,0.013019909,Sub-Saharan Africa ,NER,8566770,395.2753012
81,1992,Oman,0.069987927,Middle East & North Africa,OMN,1983275,6278.642993
82,1992,Pakistan,0.021305305,South Asia,PAK,113911126,429.1469022
83,1992,Philippines,0.059536491,East Asia & Pacific ,PHL,65020116,814.7685392
84,1992,Poland,0.022488933,Europe & Central Asia,POL,38363667,2459.020685
85,1992,Russian Federation,0.071017683,Europe & Central Asia ,RUS,NA,NA
86,1992,Tunisia,0.024856189,Middle East & North Africa ,TUN,8613861,1799.110329
87,1992,Uruguay,0.007693582,Latin America & Caribbean ,URY,3154464,4082.531892
88,1992,Zimbabwe,0.029590701,Sub-Saharan Africa ,ZWE,10900502,619.372594
89,1993,Algeria,0.02811153,Middle East & North Africa ,DZA,27635515,1807.328548
90,1993,Armenia,0.001249401,Europe & Central Asia ,ARM,3363108,357.2032777
91,1993,Belarus,0.013358183,Europe & Central Asia ,BLR,10239000,1590.095882
92,1993,China,0.20094538,East Asia & Pacific ,CHN,1178440000,377.3898395
93,1993,Colombia,0.004060554,Latin America & Caribbean ,COL,35091272,1893.542212
94,1993,Costa Rica,0.012702247,Latin America & Caribbean ,CRI,NA,NA
95,1993,Czech Republic,0.008329342,Europe & Central Asia,CZE,NA,NA
96,1993,Ecuador,0.007288174,Latin America & Caribbean ,ECU,10961466,1727.754058
97,1993,Fiji,0.001561752,East Asia & Pacific ,FJI,754963,2166.233478
98,1993,Gabon,0.002342627,Sub-Saharan Africa ,GAB,1029778,4252.028186
99,1993,Guatemala,0.002082336,Latin America & Caribbean ,GTM,9790619,1164.374025
100,1993,Guinea,0.007173646,Sub-Saharan Africa ,GIN,6897166,475.4218352
101,1993,Hungary,0.035607938,Europe & Central Asia,HUN,10357523,3873.987723
102,1993,India,0.077566999,South Asia,IND,927403860,301.1590042
103,1993,Indonesia,0.099546051,East Asia & Pacific ,IDN,190851175,827.9053053
104,1993,Jordan,0.014055765,Middle East & North Africa ,JOR,4201555,1334.230192
105,1993,Kazakhstan,0.022697457,Europe & Central Asia ,KAZ,16330419,1433.461534
106,1993,Malaysia,0.011140495,East Asia & Pacific ,MYS,19484898,3433.163316
107,1993,Mali,0.014992816,Sub-Saharan Africa ,MLI,9087176,310.1382515
108,1993,Mauritius,0.002082336,Sub-Saharan Africa ,MUS,1097374,2973.797821
109,1993,Moldova,0.008954043,Europe & Central Asia ,MDA,2973114,NA
110,1993,Morocco,0.080898736,Middle East & North Africa ,MAR,26155203,1199.319377
111,1993,Oman,0.012494013,Middle East & North Africa,OMN,2072104,6029.189622
112,1993,Pakistan,0.04685255,South Asia,PAK,117086685,442.4922384
113,1993,Philippines,0.048757887,East Asia & Pacific ,PHL,66593904,816.4123244
114,1993,Poland,0.108906149,Europe & Central Asia,POL,38461408,2497.195241
115,1993,Russian Federation,0.072881744,Europe & Central Asia ,RUS,NA,NA
116,1993,Seychelles,0.000468525,Sub-Saharan Africa ,SYC,72253,6559.129994
117,1993,Slovak Republic,0.005726423,Europe & Central Asia,SVK,NA,NA
118,1993,Slovenia,0.008329342,Europe & Central Asia,SVN,1991746,6656.933482
119,1993,Tunisia,0.022541282,Middle East & North Africa ,TUN,8795932,1660.875379
120,1993,Turkey,0.013483123,Europe & Central Asia ,TUR,56653804,3180.187801
121,1993,Ukraine,0.002811153,Europe & Central Asia ,UKR,52179200,1258.136574
122,1994,Algeria,0.015967194,Middle East & North Africa ,DZA,28213774,1507.865318
123,1994,Argentina,0.023066245,Latin America & Caribbean ,ARG,34402672,7483.139682
124,1994,Belarus,0.003801281,Europe & Central Asia ,BLR,10227000,1460.059076
125,1994,Belize,0.000521655,Latin America & Caribbean ,BLZ,201680,2880.125446
126,1994,Brazil,0.023315732,Latin America & Caribbean ,BRA,159432716,3500.61149
127,1994,Bulgaria,0.01011558,Europe & Central Asia ,BGR,8443591,1148.494399
128,1994,Chile,0.009979496,Latin America & Caribbean ,CHL,14166340,4024.216932
129,1994,China,0.18552791,East Asia & Pacific ,CHN,1191835000,473.4922787
130,1994,Colombia,0.002268067,Latin America & Caribbean ,COL,35758978,2284.838813
131,1994,Croatia,0.011612505,Europe & Central Asia,HRV,4652024,NA
132,1994,Ecuador,0.015513581,Latin America & Caribbean ,ECU,11208001,2026.112715
133,1994,Estonia,0.005479651,Europe & Central Asia,EST,1462514,2814.834328
134,1994,Gabon,0.003193439,Sub-Saharan Africa ,GAB,1057255,3963.868049
135,1994,Guinea,0.000498975,Sub-Saharan Africa ,GIN,7081116,477.7804689
136,1994,Hungary,0.009072269,Europe & Central Asia,HUN,10343355,4173.373024
137,1994,India,0.025719884,South Asia,IND,945601831,346.1029503
138,1994,Indonesia,0.142688654,East Asia & Pacific ,IDN,193917462,912.2032751
139,1994,Jamaica,0.002785187,Latin America & Caribbean ,JAM,2509043,2159.841372
140,1994,Jordan,0.009671039,Middle East & North Africa ,JOR,4410359,1414.33827
141,1994,Kazakhstan,0.005053254,Europe & Central Asia ,KAZ,16095199,1320.321622
142,1994,Latvia,0.004263967,Europe & Central Asia,LVA,2520742,NA
143,1994,Lithuania,0.001515096,Europe & Central Asia,LTU,3657144,NA
144,1994,Malaysia,0.006350589,East Asia & Pacific ,MYS,19977500,3728.111974
145,1994,Mali,0.022680674,Sub-Saharan Africa ,MLI,9334880,223.018023
146,1994,Mauritius,0.000698565,Sub-Saharan Africa ,MUS,1112846,3197.331024
147,1994,Mexico,0.068042021,Latin America & Caribbean ,MEX,90156400,5854.417857
148,1994,Moldova,0.002721681,Europe & Central Asia ,MDA,2964277,NA
149,1994,Morocco,0.011249614,Middle East & North Africa ,MAR,26584478,1326.941304
150,1994,Oman,0.034211528,Middle East & North Africa,OMN,2148419,6013.191867
151,1994,Pakistan,0.053344944,South Asia,PAK,120362762,434.4654114
152,1994,Peru,0.008346488,Latin America & Caribbean ,PER,23851408,1881.737119
153,1994,Philippines,0.032433363,East Asia & Pacific ,PHL,68180859,939.9186379
154,1994,Poland,0.019505379,Europe & Central Asia,POL,38542652,2874.825311
155,1994,Russian Federation,0.142888244,Europe & Central Asia ,RUS,NA,NA
156,1994,Slovak Republic,0.003628908,Europe & Central Asia,SVK,NA,NA
157,1994,Spain,0.001134034,Europe & Central Asia,ESP,39549108,13415.287
158,1994,Thailand,0.007031009,East Asia & Pacific ,THA,58875269,2491.42809
159,1994,Tunisia,0.020870756,Middle East & North Africa ,TUN,8967916,1743.154533
160,1994,Turkmenistan,0.001134034,Europe & Central Asia ,TKM,4115102,622.3706261
161,1994,Ukraine,0.045361347,Europe & Central Asia ,UKR,51921400,1012.098194
162,1994,Uruguay,0.00673616,Latin America & Caribbean ,URY,3201151,5458.86395
163,1995,Algeria,0.021712664,Middle East & North Africa ,DZA,28757785,1452.269445
164,1995,Argentina,0.116085208,Latin America & Caribbean ,ARG,34828170,7408.708238
165,1995,Brazil,0.020239305,Latin America & Caribbean ,BRA,162019896,4748.215529
166,1995,Bulgaria,0.001938631,Europe & Central Asia ,BGR,8406067,2258.286018
167,1995,Chile,0.004109897,Latin America & Caribbean ,CHL,14380866,5107.276802
168,1995,China,0.184615804,East Asia & Pacific ,CHN,1204855000,609.6566792
169,1995,Colombia,0.019514257,Latin America & Caribbean ,COL,36421438,2539.912877
170,1995,Croatia,0.009305427,Europe & Central Asia,HRV,4620030,4877.527466
171,1995,Dominica,0.002781547,Latin America & Caribbean ,DMA,71098,3861.179613
172,1995,El Salvador,0.004458851,Latin America & Caribbean ,SLV,NA,NA
173,1995,Estonia,0.001473359,Europe & Central Asia,EST,1436634,3130.806984
174,1995,Grenada,0.000296688,Latin America & Caribbean ,GRD,100288,3411.898916
175,1995,Guatemala,0.000364463,Latin America & Caribbean ,GTM,10286786,1424.682543
176,1995,Guinea,0.003877261,Sub-Saharan Africa ,GIN,7269625,508.1078294
177,1995,Hungary,0.002946719,Europe & Central Asia,HUN,10328965,4494.707624
178,1995,India,0.102189103,South Asia,IND,963922588,373.76648
179,1995,Indonesia,0.095748972,East Asia & Pacific ,IDN,196934260,1026.39342
180,1995,Jamaica,0.000814225,Latin America & Caribbean ,JAM,2533711,2580.736386
181,1995,Jordan,0.010856332,Middle East & North Africa ,JOR,4588843,1466.044193
182,1995,Kazakhstan,0.014973984,Europe & Central Asia ,KAZ,15815626,1288.239052
183,1995,Latvia,0.002299216,Europe & Central Asia,LVA,2485056,2328.227538
184,1995,Lithuania,0.003241391,Europe & Central Asia,LTU,3629102,2167.792582
185,1995,Mali,0.007211706,Sub-Saharan Africa ,MLI,9585653,282.341255
186,1995,Mauritius,0.001791295,Sub-Saharan Africa ,MUS,1122457,3599.555202
187,1995,Mexico,0.073454718,Latin America & Caribbean ,MEX,91663285,3928.223926
188,1995,Moldova,0.002326357,Europe & Central Asia ,MDA,2952307,593.7661383
189,1995,Morocco,0.038158456,Middle East & North Africa ,MAR,26994250,1432.310151
190,1995,Oman,0.029866886,Middle East & North Africa,OMN,2204277,6261.736061
191,1995,Pakistan,0.024659383,South Asia,PAK,123776839,489.881814
192,1995,Panama,0.003295672,Latin America & Caribbean ,PAN,2739668,3494.516014
193,1995,Paraguay,0.004846577,Latin America & Caribbean ,PRY,4776843,1897.096362
194,1995,Peru,0.005815892,Latin America & Caribbean ,PER,24299160,2194.01797
