,filename,Project_name,Project_desc,Date,Amount_loan,Currency_name,Year,Value,Amount_in_usd,Country_Code,Country,Region,Income_level,Topic
0,1990_april_24_587321468019152780_conformed-copy--l3186--forestry-sector-project--loan-agreement.pdf,forestry sector project,Description of the Project The objectives of the Project are to assist the Borrower in (i) protecting the gazetted forests (ii) improving the interface between agriculture and forestry (iii) rationalizing and improving forest management and exploitation and (iv) ensuring regular wood supply and improving the efficiency of its wood processing industry The Project consists of the following parts subject to such modifications,1990-04-24,80000000.0,USD,1990,1.0,80000000.0,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Agriculture
1,1990_april_24_668811468165272290_conformed-copy--c2120--water-supply-project--loan-agreement.pdf,water supply project,,1990-04-24,2500000.0,USD,1990,1.0,2500000.0,LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Water Works
2,1990_april_25_904191468298750561_conformed-copy--l3190--environment-management-project--loan-agreement.pdf,environment management project,Description of the Project The objectives of the Project are to assist the Borrower in strengthening institutional and regulatory frameworks for environmental protection and in developing programs to improve environmental quality The Project consists of the following parts subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-04-25,18000000.0,USD,1990,1.0,18000000.0,POL,Poland,Europe & Central Asia,High income,Other
3,1990_april_30_410811468040573756_conformed-copy--l3180--rural-electrification-project--loan-agreement.pdf,rural electrification project,Description of the Project The objective of the Project is to assist the Borrower in developing and implementing an efficient rural electricity program in Indonesia The Project consists of the following parts subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-04-30,329000000.0,USD,1990,1.0,329000000.0,IDN,Indonesia,East Asia & Pacific,Upper middle income,Rural Development
4,1990_april_30_725911468042268845_conformed-copy--l3182--third-telecommunications-project--loan-agreement.pdf,third telecommunications project,Description of the Project The objectives of the Project are to assist the Borrower to improve overall management of the telecommunications sector develop PERUMTELs institutional capability and accelerate implementation of telecommunications network investments The Project consists of the following parts subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-04-30,350000000.0,USD,1990,1.0,350000000.0,IDN,Indonesia,East Asia & Pacific,Upper middle income,Other
5,1990_april_5_790191468211457471_conformed-copy--l3076--west-mitidja-irrigation-project--loan-agreement.pdf,west mitidja irrigation project,Description of the Project The objectives of the Project are to improve agricultural productivity increase farmers income and increase the level of employment within the Project Area through (1) further development of water resources (2) expansion of irrigated agriculture (3) provision of credit for onfarm irrigation and agricultural development and (4) strengthening of institutional capabilities in the design construction operation and maintenance of irrigation facilities The Project consists of the following parts subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-04-05,110000000.0,USD,1990,1.0,110000000.0,DZA,Algeria,Middle East & North Africa,Lower middle income,Agriculture
6,1990_august_10_460651468271855106_conformed-copy--l3203--universities-science-and-technology-research-project--loan-agreement.pdf,universities science and technology research project,Description of the Project The objectives of the Project are to assist selected universities in broadening and deepening their basic research programs in the priority fields of science and technology and to strengthen science teacher education programs The Project consists of the following subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-08-10,45000000.0,USD,1990,1.0,45000000.0,KOR,"Korea, Rep.",East Asia & Pacific,High income,Education
7,1990_august_10_885551468047414878_conformed-copy--l3202--second-technology-advancement-project--loan-agreement.pdf,second technology advancement project,Description of the Project The objectives of the Project are to improve the research and development capacities in the fields of science engineering bio technology standards measurement and in the energy and resource development and conservation in the Republic of Korea The Project consists of the following parts subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-08-10,31600000.0,USD,1990,1.0,31600000.0,KOR,"Korea, Rep.",East Asia & Pacific,High income,Agriculture
8,1990_august_10_939121468273631507_conformed-copy--l3178--juam-regional-water-supply-project--loan-agreement.pdf,juam regional water supply project,Description of the Project The objectives of the Project are to improve and expand the water supply in the Kwangju Metropolitan Area by ensuring efficient use of scarce water resources and to support institutional improvements in the sector The Project consists of the following subject to such modifications thereof as the Borrower and the Bank may agree upon from time to time to achieve such objectives,1990-08-10,34000000.0,USD,1990,1.0,34000000.0,KOR,"Korea, Rep.",East Asia & Pacific,High income,Water Works
9,1990_august_13_930351468250521631_conformed-copy--c2130--technician-education-project--loan-agreement.pdf,technician education project,,1990-08-13,25000000.0,USD,1990,1.0,25000000.0,IND,India,South Asia,Lower middle income,Education
