"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","1990",1.281057,
"AUS","EXCH","TOT","NATUSD","A","1991",1.283756,
"AUS","EXCH","TOT","NATUSD","A","1992",1.361648,
"AUS","EXCH","TOT","NATUSD","A","1993",1.47056,
"AUS","EXCH","TOT","NATUSD","A","1994",1.367751,
"AUS","EXCH","TOT","NATUSD","A","1995",1.349033,
"AUS","EXCH","TOT","NATUSD","A","1996",1.277863,
"AUS","EXCH","TOT","NATUSD","A","1997",1.34738,
"AUS","EXCH","TOT","NATUSD","A","1998",1.591828,
"AUS","EXCH","TOT","NATUSD","A","1999",1.54995,
"AUS","EXCH","TOT","NATUSD","A","2000",1.724827,
"AUS","EXCH","TOT","NATUSD","A","2001",1.933443,
"AUS","EXCH","TOT","NATUSD","A","2002",1.840563,
"AUS","EXCH","TOT","NATUSD","A","2003",1.541914,
"AUS","EXCH","TOT","NATUSD","A","2004",1.359752,
"AUS","EXCH","TOT","NATUSD","A","2005",1.309473,
"AUS","EXCH","TOT","NATUSD","A","2006",1.327973,
"AUS","EXCH","TOT","NATUSD","A","2007",1.195073,
"AUS","EXCH","TOT","NATUSD","A","2008",1.192178,
"AUS","EXCH","TOT","NATUSD","A","2009",1.282189,
"AUS","EXCH","TOT","NATUSD","A","2010",1.090159,
"AUS","EXCH","TOT","NATUSD","A","2011",0.969463,
"AUS","EXCH","TOT","NATUSD","A","2012",0.965801,
"AUS","EXCH","TOT","NATUSD","A","2013",1.035843,
"AUS","EXCH","TOT","NATUSD","A","2014",1.109363,
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUT","EXCH","TOT","NATUSD","A","1990",0.826278,
"AUT","EXCH","TOT","NATUSD","A","1991",0.848522,
"AUT","EXCH","TOT","NATUSD","A","1992",0.798626,
"AUT","EXCH","TOT","NATUSD","A","1993",0.845344,
"AUT","EXCH","TOT","NATUSD","A","1994",0.830056,
"AUT","EXCH","TOT","NATUSD","A","1995",0.732651,
"AUT","EXCH","TOT","NATUSD","A","1996",0.769355,
"AUT","EXCH","TOT","NATUSD","A","1997",0.886917,
