"","Year","Country","Topic","sum_per_topic","Loan_prop"
"1",1990,"Algeria","Agriculture",1.42e+08,0.0107374836480223
"2",1990,"Algeria","Other",2.6e+07,0.00196601813273647
"3",1990,"Algeria","Private Sector Development",6.3e+07,0.00476381316778452
"4",1990,"Barbados","Other",2e+07,0.00151232164056652
"5",1990,"Botswana","Road Infrastructure",14900000,0.00112667962222205
"6",1990,"Brazil","Agriculture",4.7e+07,0.00355395585533131
"7",1990,"Brazil","Water Works",2.8e+08,0.0211725029679312
"8",1990,"Cameroon","Other",21500000,0.001625745763609
"9",1990,"Chile","Private Sector Development",1.3e+08,0.00983009066368235
"10",1990,"China","Other",1.25e+08,0.00945201025354072
"11",1990,"China","Rural Development",7.5e+07,0.00567120615212443
"12",1990,"Colombia","Financial Sector",3.04e+08,0.022987288936611
"13",1990,"Colombia","Other",7.9e+07,0.00597367048023774
"14",1990,"Cote d'Ivoire","Agriculture",8e+07,0.00604928656226606
"15",1990,"Cote d'Ivoire","Other",2200000,0.000166355380462317
"16",1990,"Cote d'Ivoire","Water Works",101900000,0.0077052787586864
"17",1990,"Cyprus","Water Works",2.5e+07,0.00189040205070814
"18",1990,"Ecuador","Private Sector Development",5e+07,0.00378080410141629
"19",1990,"Egypt, Arab Rep.","Agriculture",4e+07,0.00302464328113303
"20",1990,"Egypt, Arab Rep.","Energy and Grid",1.65e+08,0.0124766535346738
"21",1990,"Fiji","Other",16200000,0.00122498052885888
"22",1990,"Honduras","Financial Sector",9e+07,0.00680544738254932
"23",1990,"Hungary","Agriculture",1e+08,0.00756160820283258
"24",1990,"Hungary","Financial Sector",4e+08,0.0302464328113303
"25",1990,"Hungary","Other",1.5e+08,0.0113424123042489
"26",1990,"Hungary","Private Sector Development",6.6e+07,0.0049906614138695
"27",1990,"India","Education",7.5e+07,0.00567120615212443
"28",1990,"India","Energy and Grid",5.83e+08,0.0440841758225139
"29",1990,"India","Financial Sector",3e+08,0.0226848246084977
"30",1990,"India","Health care",1e+07,0.000756160820283258
"31",1990,"India","Other",4e+08,0.0302464328113303
"32",1990,"India","Urban Development",5.1e+07,0.00385642018344462
"33",1990,"India","Water Works",2e+07,0.00151232164056652
"34",1990,"Indonesia","Education",154200000,0.0116599998487678
"35",1990,"Indonesia","Energy and Grid",8.6e+07,0.00650298305443602
"36",1990,"Indonesia","Financial Sector",2.5e+08,0.0189040205070814
"37",1990,"Indonesia","Other",4.31e+08,0.0325905313542084
"38",1990,"Indonesia","Rural Development",3.29e+08,0.0248776909873192
"39",1990,"Indonesia","Water Works",1.9e+08,0.0143670555853819
"40",1990,"Jamaica","Agriculture",2.5e+07,0.00189040205070814
"41",1990,"Jamaica","Road Infrastructure",3.5e+07,0.0026465628709914
"42",1990,"Jordan","Financial Sector",1.5e+08,0.0113424123042489
"43",1990,"Jordan","Other",2.5e+07,0.00189040205070814
"44",1990,"Korea, Rep.","Agriculture",31600000,0.00238946819209509
"45",1990,"Korea, Rep.","Education",4.5e+07,0.00340272369127466
"46",1990,"Korea, Rep.","Water Works",3.4e+07,0.00257094678896308
"47",1990,"Malaysia","Agriculture",7.1e+07,0.00536874182401113
"48",1990,"Malaysia","Road Infrastructure",83200000,0.00629125802475671
"49",1990,"Mali","Agriculture",6.3e+07,0.00476381316778452
"50",1990,"Mali","Education",90200000,0.00682057059895499
"51",1990,"Mauritius","Road Infrastructure",3e+07,0.00226848246084977
"52",1990,"Mexico","Agriculture",1e+08,0.00756160820283258
"53",1990,"Mexico","Energy and Grid",4.5e+08,0.0340272369127466
"54",1990,"Mexico","Financial Sector",1.26e+09,0.0952762633556905
"55",1990,"Mexico","Other",4.02e+08,0.030397664975387
"56",1990,"Morocco","Health care",1.04e+08,0.00786407253094588
"57",1990,"Morocco","Other",7.9e+07,0.00597367048023774
"58",1990,"Morocco","Private Sector Development",1.53e+08,0.0115692605503338
"59",1990,"Nigeria","Agriculture",1.06e+08,0.00801530469500253
"60",1990,"Nigeria","Energy and Grid",7e+07,0.00529312574198281
"61",1990,"Nigeria","Other",334800000,0.0253162642630835
"62",1990,"Pakistan","Agriculture",445500000,0.0336869645436191
"63",1990,"Pakistan","Energy and Grid",1.62e+08,0.0122498052885888
"64",1990,"Pakistan","Other",3.14e+08,0.0237434497568943
"65",1990,"Pakistan","Rural Development",1.23e+08,0.00930077808948407
"66",1990,"Papua New Guinea","Financial Sector",5e+07,0.00378080410141629
"67",1990,"Papua New Guinea","Other",17200000,0.0013005966108872
"68",1990,"Peru","Other",2e+08,0.0151232164056652
"69",1990,"Philippines","Agriculture",121800000,0.00921003879105008
"70",1990,"Philippines","Education",2e+08,0.0151232164056652
"71",1990,"Philippines","Other",3.55e+08,0.0268437091200557
"72",1990,"Philippines","Rural Development",46200000,0.00349346298970865
"73",1990,"Philippines","Water Works",8.5e+07,0.00642736697240769
"74",1990,"Poland","Agriculture",2.5e+08,0.0189040205070814
"75",1990,"Poland","Financial Sector",3e+08,0.0226848246084977
"76",1990,"Poland","Other",2.78e+08,0.0210212708038746
"77",1990,"Poland","Private Sector Development",1e+08,0.00756160820283258
"78",1990,"Poland","Urban Development",8e+06,0.000604928656226606
"79",1990,"St. Lucia","Water Works",2500000,0.000189040205070814
"80",1990,"Togo","Other",3e+07,0.00226848246084977
"81",1990,"Trinidad and Tobago","Financial Sector",4e+07,0.00302464328113303
"82",1990,"Trinidad and Tobago","Other",4e+06,0.000302464328113303
"83",1990,"Tunisia","Agriculture",1.7e+07,0.00128547339448154
"84",1990,"Tunisia","Other",1.2e+07,0.000907392984339909
"85",1990,"Turkey","Health care",7.5e+07,0.00567120615212443
"86",1990,"Turkey","Other",1.73e+08,0.0130815821909004
"87",1990,"Venezuela, RB","Financial Sector",4.5e+08,0.0340272369127466
"88",1990,"Zimbabwe","Agriculture",50800000,0.00384129696703895
"89",1990,"Zimbabwe","Other",8e+07,0.00604928656226606
"90",1991,"Algeria","Agriculture",1e+08,0.00625701176380782
"91",1991,"Algeria","Education",6.5e+07,0.00406705764647508
"92",1991,"Algeria","Financial Sector",3.5e+08,0.0218995411733274
"93",1991,"Algeria","Health care",1.6e+07,0.00100112188220925
"94",1991,"Algeria","Other",99500000,0.00622572670498878
"95",1991,"Argentina","Financial Sector",3e+08,0.0187710352914234
"96",1991,"Argentina","Private Sector Development",2.3e+07,0.0014391127056758
"97",1991,"Brazil","Other",4.5e+08,0.0281565529371352
"98",1991,"Brazil","Road Infrastructure",3.1e+08,0.0193967364678042
"99",1991,"Bulgaria","Other",1.7e+07,0.00106369199984733
"100",1991,"China","Agriculture",441300000,0.0276121929136839
"101",1991,"China","Energy and Grid",3.8e+08,0.0237766447024697
"102",1991,"China","Other",6.3e+08,0.0394191741119892
"103",1991,"China","Rural Development",5e+07,0.00312850588190391
"104",1991,"China","Urban Development",438200000,0.0274182255490059
"105",1991,"Costa Rica","Education",2.3e+07,0.0014391127056758
"106",1991,"Cote d'Ivoire","Financial Sector",3.5e+08,0.0218995411733274
"107",1991,"Cote d'Ivoire","Other",4e+08,0.0250280470552313
"108",1991,"Cyprus","Other",3e+07,0.00187710352914235
"109",1991,"Cyprus","Water Works",3.2e+07,0.0020022437644185
"110",1991,"Czech Republic","Financial Sector",4.5e+08,0.0281565529371352
"111",1991,"Egypt, Arab Rep.","Agriculture",3.1e+07,0.00193967364678042
"112",1991,"Egypt, Arab Rep.","Financial Sector",3e+08,0.0187710352914234
"113",1991,"Egypt, Arab Rep.","Other",1.29e+08,0.00807154517531208
"114",1991,"Hungary","Agriculture",1.5e+08,0.00938551764571172
"115",1991,"Hungary","Financial Sector",2.5e+08,0.0156425294095195
"116",1991,"India","Agriculture",1.44e+08,0.00901009693988326
"117",1991,"India","Energy and Grid",2e+08,0.0125140235276156
"118",1991,"India","Financial Sector",6.5e+08,0.0406705764647508
"119",1991,"India","Other",4e+07,0.00250280470552313
"120",1991,"India","Private Sector Development",4.5e+08,0.0281565529371352
"121",1991,"India","Road Infrastructure",6.9e+07,0.00431733811702739
"122",1991,"India","Urban Development",1.3e+07,0.000813411529295016
"123",1991,"Indonesia","Agriculture",140500000,0.00879110152814998
"124",1991,"Indonesia","Education",1.5e+08,0.00938551764571172
"125",1991,"Indonesia","Energy and Grid",5.5e+08,0.034413564700943
"126",1991,"Indonesia","Financial Sector",106100000,0.00663868948140009
"127",1991,"Indonesia","Health care",2.08e+08,0.0130145844687203
"128",1991,"Indonesia","Other",6.27e+08,0.039231463759075
"129",1991,"Indonesia","Urban Development",1e+08,0.00625701176380782
"130",1991,"Iran, Islamic Rep.","Other",2.5e+08,0.0156425294095195
"131",1991,"Jamaica","Financial Sector",3e+07,0.00187710352914235
"132",1991,"Jordan","Agriculture",1.5e+07,0.000938551764571173
"133",1991,"Jordan","Other",1e+07,0.000625701176380782
"134",1991,"Korea, Rep.","Agriculture",9e+07,0.00563131058742704
"135",1991,"Korea, Rep.","Financial Sector",1e+08,0.00625701176380782
"136",1991,"Korea, Rep.","Other",1.6e+08,0.0100112188220925
"137",1991,"Mauritius","Agriculture",1e+07,0.000625701176380782
"138",1991,"Mauritius","Other",17770000,0.00111187099042865
"139",1991,"Mexico","Financial Sector",7.5e+07,0.00469275882285586
"140",1991,"Mexico","Health care",1.8e+08,0.0112626211748541
"141",1991,"Mexico","Other",7.5e+08,0.0469275882285586
"142",1991,"Mexico","Water Works",3e+08,0.0187710352914234
"143",1991,"Morocco","Agriculture",5e+07,0.00312850588190391
"144",1991,"Morocco","Education",1.45e+08,0.00907266705752133
"145",1991,"Morocco","Other",3.6e+08,0.0225252423497081
"146",1991,"Morocco","Private Sector Development",2.35e+08,0.0147039776449484
"147",1991,"Nigeria","Agriculture",2.18e+08,0.013640285645101
"148",1991,"Nigeria","Health care",7e+07,0.00437990823466547
"149",1991,"Pakistan","Other",91400000,0.00571890875212035
"150",1991,"Pakistan","Water Works",108900000,0.00681388581078671
"151",1991,"Papua New Guinea","Other",20800000,0.00130145844687203
"152",1991,"Philippines","Agriculture",1.58e+08,0.00988607858681635
"153",1991,"Philippines","Other",1.5e+08,0.00938551764571172
"154",1991,"Philippines","Private Sector Development",1.9e+08,0.0118883223512349
"155",1991,"Poland","Agriculture",1e+08,0.00625701176380782
"156",1991,"Poland","Financial Sector",1.5e+08,0.00938551764571172
"157",1991,"Poland","Other",1.005e+09,0.0628829682262686
"158",1991,"Poland","Private Sector Development",2.8e+08,0.0175196329386619
"159",1991,"Romania","Health care",1.5e+08,0.00938551764571172
"160",1991,"Romania","Other",1.8e+08,0.0112626211748541
"161",1991,"Tunisia","Financial Sector",2.5e+08,0.0156425294095195
"162",1991,"Tunisia","Health care",5.6e+07,0.00350392658773238
"163",1991,"Turkey","Other",3e+08,0.0187710352914234
"164",1991,"Turkey","Private Sector Development",4e+08,0.0250280470552313
"165",1991,"Zimbabwe","Health care",2.5e+07,0.00156425294095195
"166",1991,"Zimbabwe","Other",38600000,0.00241520654082982
"167",1992,"Algeria","Agriculture",2.5e+07,0.00271810037401061
"168",1992,"Algeria","Energy and Grid",3.3e+07,0.00358789249369401
"169",1992,"Algeria","Water Works",5.7e+07,0.00619726885274419
"170",1992,"Belize","Education",7100000,0.000771940506219014
"171",1992,"Brazil","Road Infrastructure",5e+07,0.00543620074802122
"172",1992,"Chile","Health care",9e+07,0.0097851613464382
"173",1992,"China","Agriculture",82700000,0.0089914760372271
"174",1992,"China","Energy and Grid",9e+08,0.097851613464382
"175",1992,"China","Private Sector Development",8e+06,0.000869792119683396
"176",1992,"China","Road Infrastructure",3.6e+08,0.0391406453857528
"177",1992,"Ecuador","Education",8.9e+07,0.00967643733147778
"178",1992,"Egypt, Arab Rep.","Energy and Grid",2.2e+08,0.0239192832912934
"179",1992,"Egypt, Arab Rep.","Other",4.5e+07,0.0048925806732191
"180",1992,"Estonia","Financial Sector",3e+07,0.00326172044881273
"181",1992,"Hungary","Agriculture",1e+08,0.0108724014960424
"182",1992,"Hungary","Financial Sector",2e+08,0.0217448029920849
