"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1991",18126.137999,
"AUS","GDP","TOT","USD_CAP","A","1992",19094.496782,
"AUS","GDP","TOT","USD_CAP","A","1993",20118.480443,
"AUS","GDP","TOT","USD_CAP","A","1994",21349.565284,
"AUS","GDP","TOT","USD_CAP","A","1995",22353.994564,
"AUS","GDP","TOT","USD_CAP","A","1996",23220.090889,
"AUS","GDP","TOT","USD_CAP","A","1997",24403.021722,
"AUS","GDP","TOT","USD_CAP","A","1998",25630.468739,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28252.629885,
"AUS","GDP","TOT","USD_CAP","A","2001",29493.214856,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32248.255835,
"AUS","GDP","TOT","USD_CAP","A","2004",33865.906508,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37842.933976,
"AUS","GDP","TOT","USD_CAP","A","2007",39596.040082,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41614.090724,
"AUS","GDP","TOT","USD_CAP","A","2010",42787.065957,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47644.762792,
"AUS","GDP","TOT","USD_CAP","A","2015",47317.250695,
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",50853.615427,
"AUS","GDP","TOT","USD_CAP","A","2018",53083.298192,
"AUS","GDP","TOT","USD_CAP","A","2019",53078.965373,
"AUS","GDP","TOT","USD_CAP","A","2020",52102.045295,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20567.115304,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21241.150171,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21679.452882,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22587.176339,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23639.8277,
"AUT","GDP","TOT","USD_CAP","A","1996",24500.221048,
"AUT","GDP","TOT","USD_CAP","A","1997",25417.862477,
"AUT","GDP","TOT","USD_CAP","A","1998",26673.951008,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29388.784958,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.636017,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32123.696189,
"AUT","GDP","TOT","USD_CAP","A","2004",33756.259412,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37614.942761,
"AUT","GDP","TOT","USD_CAP","A","2007",39384.189618,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40957.262321,
"AUT","GDP","TOT","USD_CAP","A","2010",42053.24337,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49942.056293,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54185.337013,
"AUT","GDP","TOT","USD_CAP","A","2018",57068.534815,
"AUT","GDP","TOT","USD_CAP","A","2019",58664.718719,
"AUT","GDP","TOT","USD_CAP","A","2020",55407.641086,
"BEL","GDP","TOT","USD_CAP","A","1991",19550.896866,"E"
"BEL","GDP","TOT","USD_CAP","A","1992",20219.669594,"E"
"BEL","GDP","TOT","USD_CAP","A","1993",20420.367959,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21465.602993,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22391.852944,
"BEL","GDP","TOT","USD_CAP","A","1996",22687.967729,
"BEL","GDP","TOT","USD_CAP","A","1997",23724.576608,
"BEL","GDP","TOT","USD_CAP","A","1998",24367.949401,
"BEL","GDP","TOT","USD_CAP","A","1999",25441.891387,
"BEL","GDP","TOT","USD_CAP","A","2000",27797.333304,
"BEL","GDP","TOT","USD_CAP","A","2001",28799.327509,
"BEL","GDP","TOT","USD_CAP","A","2002",30281.667989,
"BEL","GDP","TOT","USD_CAP","A","2003",30901.382717,
"BEL","GDP","TOT","USD_CAP","A","2004",32036.935514,
"BEL","GDP","TOT","USD_CAP","A","2005",33176.680884,
"BEL","GDP","TOT","USD_CAP","A","2006",35211.893732,
"BEL","GDP","TOT","USD_CAP","A","2007",36745.503067,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37779.034875,
"BEL","GDP","TOT","USD_CAP","A","2010",39868.992658,
"BEL","GDP","TOT","USD_CAP","A","2011",40943.343479,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.477674,
"BEL","GDP","TOT","USD_CAP","A","2013",43672.712292,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.933328,
"BEL","GDP","TOT","USD_CAP","A","2015",46201.685891,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52662.767819,
"BEL","GDP","TOT","USD_CAP","A","2019",54709.354773,
"BEL","GDP","TOT","USD_CAP","A","2020",51873.230346,"P"
"CAN","GDP","TOT","USD_CAP","A","1991",20218.015789,
"CAN","GDP","TOT","USD_CAP","A","1992",20619.411325,
"CAN","GDP","TOT","USD_CAP","A","1993",21432.765161,
"CAN","GDP","TOT","USD_CAP","A","1994",22625.128167,
"CAN","GDP","TOT","USD_CAP","A","1995",23477.634292,
"CAN","GDP","TOT","USD_CAP","A","1996",24041.989428,
"CAN","GDP","TOT","USD_CAP","A","1997",25251.116848,
"CAN","GDP","TOT","USD_CAP","A","1998",26310.956955,
"CAN","GDP","TOT","USD_CAP","A","1999",27841.629576,
"CAN","GDP","TOT","USD_CAP","A","2000",29363.147122,
"CAN","GDP","TOT","USD_CAP","A","2001",30214.300999,
"CAN","GDP","TOT","USD_CAP","A","2002",30963.222007,
"CAN","GDP","TOT","USD_CAP","A","2003",32333.608155,
"CAN","GDP","TOT","USD_CAP","A","2004",33911.218288,
"CAN","GDP","TOT","USD_CAP","A","2005",36327.662059,
"CAN","GDP","TOT","USD_CAP","A","2006",38107.136242,
"CAN","GDP","TOT","USD_CAP","A","2007",39555.523703,
"CAN","GDP","TOT","USD_CAP","A","2008",40376.330167,
"CAN","GDP","TOT","USD_CAP","A","2009",38893.727456,
"CAN","GDP","TOT","USD_CAP","A","2010",40114.222041,
"CAN","GDP","TOT","USD_CAP","A","2011",41666.718851,
"CAN","GDP","TOT","USD_CAP","A","2012",42290.879082,
"CAN","GDP","TOT","USD_CAP","A","2013",44298.514462,
"CAN","GDP","TOT","USD_CAP","A","2014",45753.782936,
"CAN","GDP","TOT","USD_CAP","A","2015",44670.054374,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CAN","GDP","TOT","USD_CAP","A","2020",48405.147781,
"CZE","GDP","TOT","USD_CAP","A","1991",11699.088491,"E"
"CZE","GDP","TOT","USD_CAP","A","1992",11894.559855,"E"
"CZE","GDP","TOT","USD_CAP","A","1993",12168.816797,"E"
"CZE","GDP","TOT","USD_CAP","A","1994",12783.381504,"E"
"CZE","GDP","TOT","USD_CAP","A","1995",13821.253758,
"CZE","GDP","TOT","USD_CAP","A","1996",14653.460983,
"CZE","GDP","TOT","USD_CAP","A","1997",14820.198326,
"CZE","GDP","TOT","USD_CAP","A","1998",14976.287116,
"CZE","GDP","TOT","USD_CAP","A","1999",15397.922823,
"CZE","GDP","TOT","USD_CAP","A","2000",16214.967545,
"CZE","GDP","TOT","USD_CAP","A","2001",17615.595018,
"CZE","GDP","TOT","USD_CAP","A","2002",18245.669005,
"CZE","GDP","TOT","USD_CAP","A","2003",19503.293709,
"CZE","GDP","TOT","USD_CAP","A","2004",20894.60712,
"CZE","GDP","TOT","USD_CAP","A","2005",22045.99888,
"CZE","GDP","TOT","USD_CAP","A","2006",23827.147382,
"CZE","GDP","TOT","USD_CAP","A","2007",26189.798385,
"CZE","GDP","TOT","USD_CAP","A","2008",27853.549898,
"CZE","GDP","TOT","USD_CAP","A","2009",27656.015128,
"CZE","GDP","TOT","USD_CAP","A","2010",27789.608377,
"CZE","GDP","TOT","USD_CAP","A","2011",28999.754757,
"CZE","GDP","TOT","USD_CAP","A","2012",29258.904853,
"CZE","GDP","TOT","USD_CAP","A","2013",30828.526409,
"CZE","GDP","TOT","USD_CAP","A","2014",32504.217576,
"CZE","GDP","TOT","USD_CAP","A","2015",33909.309243,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43015.814745,
"CZE","GDP","TOT","USD_CAP","A","2020",41134.931169,
"DNK","GDP","TOT","USD_CAP","A","1991",19029.001048,
"DNK","GDP","TOT","USD_CAP","A","1992",19778.303328,
"DNK","GDP","TOT","USD_CAP","A","1993",20178.829135,
"DNK","GDP","TOT","USD_CAP","A","1994",21637.840264,
"DNK","GDP","TOT","USD_CAP","A","1995",22655.944619,
"DNK","GDP","TOT","USD_CAP","A","1996",23687.827456,
"DNK","GDP","TOT","USD_CAP","A","1997",24919.675703,
"DNK","GDP","TOT","USD_CAP","A","1998",25818.946768,
"DNK","GDP","TOT","USD_CAP","A","1999",26657.827372,
"DNK","GDP","TOT","USD_CAP","A","2000",28679.270722,
"DNK","GDP","TOT","USD_CAP","A","2001",29459.845737,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953691,
"DNK","GDP","TOT","USD_CAP","A","2003",30791.903459,
"DNK","GDP","TOT","USD_CAP","A","2004",32920.676921,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.881663,
"DNK","GDP","TOT","USD_CAP","A","2006",37286.319861,
"DNK","GDP","TOT","USD_CAP","A","2007",38969.119721,
"DNK","GDP","TOT","USD_CAP","A","2008",41282.995471,
"DNK","GDP","TOT","USD_CAP","A","2009",40361.790678,
"DNK","GDP","TOT","USD_CAP","A","2010",43041.192361,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.94207,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.549212,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.939663,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477079,
"DNK","GDP","TOT","USD_CAP","A","2015",49058.142344,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57459.169626,
"DNK","GDP","TOT","USD_CAP","A","2019",60308.072261,
"DNK","GDP","TOT","USD_CAP","A","2020",59842.327077,
"FIN","GDP","TOT","USD_CAP","A","1991",17517.083718,
"FIN","GDP","TOT","USD_CAP","A","1992",17228.753019,
"FIN","GDP","TOT","USD_CAP","A","1993",17435.816507,
"FIN","GDP","TOT","USD_CAP","A","1994",18434.199087,
"FIN","GDP","TOT","USD_CAP","A","1995",19539.496806,
"FIN","GDP","TOT","USD_CAP","A","1996",20038.365756,
"FIN","GDP","TOT","USD_CAP","A","1997",21787.050734,
"FIN","GDP","TOT","USD_CAP","A","1998",23575.985475,
"FIN","GDP","TOT","USD_CAP","A","1999",24767.163974,
"FIN","GDP","TOT","USD_CAP","A","2000",26796.410421,
"FIN","GDP","TOT","USD_CAP","A","2001",27807.753126,
"FIN","GDP","TOT","USD_CAP","A","2002",28605.122922,
"FIN","GDP","TOT","USD_CAP","A","2003",29021.635677,
"FIN","GDP","TOT","USD_CAP","A","2004",31175.727708,
"FIN","GDP","TOT","USD_CAP","A","2005",32051.762889,
"FIN","GDP","TOT","USD_CAP","A","2006",34408.817577,
"FIN","GDP","TOT","USD_CAP","A","2007",37792.556693,
"FIN","GDP","TOT","USD_CAP","A","2008",40083.701943,
"FIN","GDP","TOT","USD_CAP","A","2009",38000.018769,
"FIN","GDP","TOT","USD_CAP","A","2010",38985.871994,
"FIN","GDP","TOT","USD_CAP","A","2011",40916.647325,
"FIN","GDP","TOT","USD_CAP","A","2012",40872.854802,
"FIN","GDP","TOT","USD_CAP","A","2013",41492.918416,
"FIN","GDP","TOT","USD_CAP","A","2014",41749.864733,
"FIN","GDP","TOT","USD_CAP","A","2015",42490.211049,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
